Company,link href,Vegan (all on here are vegan ),Features Peta Logo,PETA Business Friends
ОгgапiсаLiЬrа,https://crueltyfree.peta.org/company/%d0%be%d0%b3g%d0%b0%d0%bfi%d1%81%d0%b0li%d1%8cr%d0%b0/,,L,
1121 Apothecary,https://crueltyfree.peta.org/company/1121-apothecary/,,L,
180 Innovations,https://crueltyfree.peta.org/company/180-innovations/,,L,
SanMelix Laboratories,https://crueltyfree.peta.org/company/19345-2/,,,
21 Drop,https://crueltyfree.peta.org/company/21-drop/,,,
21 Drops,https://crueltyfree.peta.org/company/21-drops/,,L,
23Beauty Paris,https://crueltyfree.peta.org/company/23beauty-paris/,,L,
24K Cosmetics,https://crueltyfree.peta.org/company/24k-cosmetics/,,L,
2kcommerce,https://crueltyfree.peta.org/company/2kcommerce/,,L,
2SHERO KOZMETIK IMALAT TIC,https://crueltyfree.peta.org/company/2shero-kozmetik-imalat-tic/,,L,
305 Care,https://crueltyfree.peta.org/company/305-care/,,L,
3INA,https://crueltyfree.peta.org/company/3ina/,,L,
4EVER MAGIC COSMETICS,https://crueltyfree.peta.org/company/4ever-magic-cosmetics/,,L,
4mula,https://crueltyfree.peta.org/company/4mula/,,,
4organic,https://crueltyfree.peta.org/company/4organic/,,L,
4ourclimate,https://crueltyfree.peta.org/company/4ourclimate/,,,
5 Stars Shave Club,https://crueltyfree.peta.org/company/5-stars-shave-club/,,L,
516 Polish,https://crueltyfree.peta.org/company/516-polish/,,L,
66°30,https://crueltyfree.peta.org/company/6630-2/,,L,
707 Flora,https://crueltyfree.peta.org/company/707-flora/,,L,
786 Cosmetics,https://crueltyfree.peta.org/company/786-cosmetics/,,,
7elements,https://crueltyfree.peta.org/company/7elements/,,L,
7TRUE™,https://crueltyfree.peta.org/company/7true/,,L,
82°E (DPKA UNIVERSAL CONSUMER VENTURES PRIVATE LIMITED),https://crueltyfree.peta.org/company/82e-dpka-universal-consumer-ventures-private-limited/,,L,
A Good Fur Day,https://crueltyfree.peta.org/company/a-good-fur-day/,,,
A.P. CHEM,https://crueltyfree.peta.org/company/a-p-chem/,,L,
A Perfume Organic,https://crueltyfree.peta.org/company/a-perfume-organic/,,L,
A Touch of Class Beauty,https://crueltyfree.peta.org/company/a-touch-of-class-beauty/,,L,
A101- YENİ MAGAZACILIK,https://crueltyfree.peta.org/company/a101-yeni-magazacilik/,,L,
Aaryanveda,https://crueltyfree.peta.org/company/aaryanveda/,,L,
Abbott,https://crueltyfree.peta.org/company/abbott/,,L,
ABBY & FINN,https://crueltyfree.peta.org/company/abby-finn/,,L,
ABELA,https://crueltyfree.peta.org/company/abela/,,L,
Abhati,https://crueltyfree.peta.org/company/abhati/,,L,
Abicì,https://crueltyfree.peta.org/company/abici/,,L,
Keravie Lash Loft,https://crueltyfree.peta.org/company/abloom-skin-care/,,,
Abloom Skin Care,https://crueltyfree.peta.org/company/abloom-skin-care-2/,,,
about-face (HAS Beauty),https://crueltyfree.peta.org/company/about-face-has-beauty/,,L,
About Me,https://crueltyfree.peta.org/company/about-me/,,L,
ABRIGA,https://crueltyfree.peta.org/company/abriga/,,L,
Absolute Soap (Product Body),https://crueltyfree.peta.org/company/absolute-soap-product-body/,,,
Abyssal Japan Co.,https://crueltyfree.peta.org/company/abyssal-japan-co/,,L,
abyssian,https://crueltyfree.peta.org/company/abyssian/,,L,
Acherontia,https://crueltyfree.peta.org/company/acherontia/,,,
Acmer,https://crueltyfree.peta.org/company/acmer/,,L,
Acquarella Polish,https://crueltyfree.peta.org/company/acquarella-polish/,,,
Act Of Being (Epic Beauty Brands),https://crueltyfree.peta.org/company/act-of-being-epic-beauty-brands/,,L,
ACTIVE NINE,https://crueltyfree.peta.org/company/active-nine/,,L,
Active Silver,https://crueltyfree.peta.org/company/active-silver/,,L,
ADA TINA Cosméticos,https://crueltyfree.peta.org/company/ada-tina-cosmeticos/,,,
ADC Hounstone & Co.,https://crueltyfree.peta.org/company/adc-hounstone-co/,,L,
AddictaLash,https://crueltyfree.peta.org/company/addictalash/,,L,
aDesign,https://crueltyfree.peta.org/company/adesign/,,L,
ADVANAGE Diversified Products,https://crueltyfree.peta.org/company/advanage-diversified-products/,,,
Adversa,https://crueltyfree.peta.org/company/adversa/,,L,
AEGIS PHARMA,https://crueltyfree.peta.org/company/aegis-pharma/,,L,
AER,https://crueltyfree.peta.org/company/aer/,,L,
Aesop,https://crueltyfree.peta.org/company/aesop/,,L,
Aesthetica Cosmetics,https://crueltyfree.peta.org/company/aesthetica-cosmetics/,,,
ATHR Beauty,https://crueltyfree.peta.org/company/aether-beauty/,,,
af94,https://crueltyfree.peta.org/company/af94/,,L,
Afari Skincare,https://crueltyfree.peta.org/company/afari-skincare/,,L,
AFETO NATURAL,https://crueltyfree.peta.org/company/afeto-natural/,,L,
AFFOREST GREEN BEAUTY,https://crueltyfree.peta.org/company/afforest-green-beauty/,,,
"After Inked, LLC",https://crueltyfree.peta.org/company/after-inked-llc/,,L,
Agape Key All Natural Products,https://crueltyfree.peta.org/company/agape-key-all-natural-products/,,L,
Agatha Ruiz de La Prada,https://crueltyfree.peta.org/company/agatha-ruiz-de-la-prada/,,L,
Aggi Natural Beauty,https://crueltyfree.peta.org/company/aggi-natural-beauty/,,L,
Agnes dos Santos,https://crueltyfree.peta.org/company/agnes-dos-santos/,,L,
Agua de Nube,https://crueltyfree.peta.org/company/agua-de-nube/,,L,
Aguaymanto,https://crueltyfree.peta.org/company/aguaymanto/,,,
Ahimsa Essentials,https://crueltyfree.peta.org/company/ahimsa-essentials/,,L,
Ahimsa Haircare,https://crueltyfree.peta.org/company/ahimsa-haircare/,,,
Aim HI Every Day,https://crueltyfree.peta.org/company/aim-hi-every-day/,,L,
Aimée de Mars,https://crueltyfree.peta.org/company/aimee-de-mars/,,,
Aimeili Gel Polish,https://crueltyfree.peta.org/company/aimeili-gel-polish/,,L,
AJ Nails Collection,https://crueltyfree.peta.org/company/aj-nails-collection/,,L,
AJANANTA RETAIL,https://crueltyfree.peta.org/company/ajananta-retail/,,L,
AKA Cosmetic,https://crueltyfree.peta.org/company/aka-cosmetic/,,L,
Akahi Enterprise,https://crueltyfree.peta.org/company/akahi-enterprise/,,L,
Akasa Elements,https://crueltyfree.peta.org/company/akasa-elements/,,L,
Aki Lashes,https://crueltyfree.peta.org/company/aki-lashes/,,L,
Akita Brands,https://crueltyfree.peta.org/company/akita-brands/,,L,
AKS  KOZMETIK KIMYA TIC. LTD. STI,https://crueltyfree.peta.org/company/aks-kozmetik-kimya-tic-ltd-sti/,,,
AKSAN KOZMETIK,https://crueltyfree.peta.org/company/aksan-kozmetik/,,L,
Alamar Cosmetics,https://crueltyfree.peta.org/company/alamar-cosmetics/,,L,
Alba Beauty,https://crueltyfree.peta.org/company/alba-beauty/,,L,
Alchemy Holistics,https://crueltyfree.peta.org/company/alchemy-holistics/,,L,
Alchemy Oils,https://crueltyfree.peta.org/company/alchemy-oils/,,L,
Alchimie Forever,https://crueltyfree.peta.org/company/alchimie-forever/,,L,
"Adli Gummies, d/o/b Imaraïs Beauty",https://crueltyfree.peta.org/company/aldi-gummies/,,L,
Aleph Beauty,https://crueltyfree.peta.org/company/aleph-beauty/,,L,
Alexami Cosmetics,https://crueltyfree.peta.org/company/alexami-cosmetics/,,,
ALIDA PURE,https://crueltyfree.peta.org/company/alida-pure/,,L,
Alimeri,https://crueltyfree.peta.org/company/alimeri/,,,
ALKAGLAM,https://crueltyfree.peta.org/company/alkaglam/,,L,
All About Good Vibes,https://crueltyfree.peta.org/company/all-about-good-vibes/,,,
All Care Products,https://crueltyfree.peta.org/company/all-care-products/,,,
All Good Scents,https://crueltyfree.peta.org/company/all-good-scents/,,,
allBambu,https://crueltyfree.peta.org/company/allbambu/,,L,
Alleyoop,https://crueltyfree.peta.org/company/alleyoop/,,L,
Allez Outdoor,https://crueltyfree.peta.org/company/allez-outdoor/,,L,
ALLOYANatural,https://crueltyfree.peta.org/company/alloyanatural/,,L,
AllSan,https://crueltyfree.peta.org/company/allsan/,,L,
Allyoos,https://crueltyfree.peta.org/company/allyoos/,,L,
Ally’s AromaRemedies,https://crueltyfree.peta.org/company/allys-aromaremedies/,,L,
Alma Nativa,https://crueltyfree.peta.org/company/alma-nativa/,,L,
Almaya Orgânica,https://crueltyfree.peta.org/company/almaya-organica/,,L,
Almora Botanica,https://crueltyfree.peta.org/company/almora-botanica/,,,
Alott Limited,https://crueltyfree.peta.org/company/alott-limited/,,L,
Alpenkraft,https://crueltyfree.peta.org/company/alpenkraft/,,,
Alpine White,https://crueltyfree.peta.org/company/alpine-white/,,L,
alquimiainsole,https://crueltyfree.peta.org/company/alquimiainsole/,,,
Alya Skin,https://crueltyfree.peta.org/company/alya-skin/,,L,
amac natural,https://crueltyfree.peta.org/company/amac-natural/,,,
Amacyn Natural Perfume,https://crueltyfree.peta.org/company/amacyn-natural-perfume/,,L,
AMAEYYA,https://crueltyfree.peta.org/company/amaeyya/,,,
amai naturals,https://crueltyfree.peta.org/company/amai-naturals/,,L,
AMAL Cosmetics (Madeleine Blair S.L.),https://crueltyfree.peta.org/company/amal-cosmetics-madeleine-blair-sl/,,,
Amalsroom.com,https://crueltyfree.peta.org/company/amalsroomcom/,,L,
Amara Beauty,https://crueltyfree.peta.org/company/amara-beauty/,,L,
AMARI NEW YORK,https://crueltyfree.peta.org/company/amari-new-york/,,L,
Amaru Cosmética ecológica,https://crueltyfree.peta.org/company/amaru-cosmetica-ecologica/,,L,
amatera,https://crueltyfree.peta.org/company/amatera/,,L,
Amazon Premium Products,https://crueltyfree.peta.org/company/amazon-premium-products/,,,
Amazônia New Face,https://crueltyfree.peta.org/company/amazonia-new-face/,,L,
âme pure,https://crueltyfree.peta.org/company/ame-pure/,,L,
American Formulating & Manufacturing,https://crueltyfree.peta.org/company/american-formulating-manufacturing/,,,
AMI COLE,https://crueltyfree.peta.org/company/ami-cole/,,L,
AMIEVA SPA,https://crueltyfree.peta.org/company/amieva-spa/,,L,
Aminu Wellness Pvt.Ltd,https://crueltyfree.peta.org/company/aminu-wellness-pvt-ltd/,,L,
Amoha Wellness,https://crueltyfree.peta.org/company/amoha-wellness/,,,
Amor Luminis,https://crueltyfree.peta.org/company/amor-luminis/,,L,
Amour Your Body,https://crueltyfree.peta.org/company/amour-your-body/,,L,
Amrita LLC,https://crueltyfree.peta.org/company/amrita-llc/,,L,
Amvï Cosméticos Naturais,https://crueltyfree.peta.org/company/amvi-cosmeticos-naturais/,,L,
An Earthy Touch,https://crueltyfree.peta.org/company/an-earthy-touch/,,L,
Ana Hickmann Makeup,https://crueltyfree.peta.org/company/ana-hickmann-makeup/,,,
Ana Hickmann Unique Skin,https://crueltyfree.peta.org/company/ana-hickmann-unique-skin/,,L,
ananné AG,https://crueltyfree.peta.org/company/ananne-ag/,,L,
Ancient India,https://crueltyfree.peta.org/company/ancient-india/,,,
Ancient Secrets,https://crueltyfree.peta.org/company/ancient-secrets/,,,
Anderdogs,https://crueltyfree.peta.org/company/anderdogs/,,L,
Anderson + Joy,https://crueltyfree.peta.org/company/anderson-joy/,,L,
@andreabellezanatural_osorno,https://crueltyfree.peta.org/company/andreabellezanatural_osorno/,,L,
Andrew Fitzsimons Professional Haircare,https://crueltyfree.peta.org/company/andrew-fitzsimons-professional-haircare/,,L,
Angel Minerals,https://crueltyfree.peta.org/company/angel-minerals/,,,
Angie Watts Naturals,https://crueltyfree.peta.org/company/angie-watts-naturals/,,L,
Anis Herbocosmetica,https://crueltyfree.peta.org/company/anis-herbocosmetica/,,L,
Anisa Beauty,https://crueltyfree.peta.org/company/anisa-beauty/,,L,
Anise Cosmetics,https://crueltyfree.peta.org/company/anise-cosmetics/,,,
Anjoize Ltd,https://crueltyfree.peta.org/company/anjoize-ltd/,,,
Anjolie,https://crueltyfree.peta.org/company/anjolie/,,L,
Anomaly Haircare,https://crueltyfree.peta.org/company/anomaly-haircare/,,L,
Anyong,https://crueltyfree.peta.org/company/anyong/,,L,
ao FEEL THE LIFE,https://crueltyfree.peta.org/company/ao-feel-the-life/,,L,
Aphotetic,https://crueltyfree.peta.org/company/aphotetic/,,L,
Aphrodite Razors,https://crueltyfree.peta.org/company/aphrodite-razors/,,,
APOEM,https://crueltyfree.peta.org/company/apoem/,,L,
Apsara Skin Care,https://crueltyfree.peta.org/company/apsara-skin-care/,,L,
Aqua Natural,https://crueltyfree.peta.org/company/aqua-natural/,,L,
Aqualogica,https://crueltyfree.peta.org/company/aqualogica/,,L,
Aquilegia,https://crueltyfree.peta.org/company/aquilegia/,,L,
Arabella Cosmetics,https://crueltyfree.peta.org/company/arabella-cosmetics/,,L,
ARABORA (ARAMEDIHEAL),https://crueltyfree.peta.org/company/arabora/,,L,
Arata,https://crueltyfree.peta.org/company/arata/,,,
Arbonne International (Groupe Rocher),https://crueltyfree.peta.org/company/arbonne-international-groupe-rocher/,,L,
Arches & Halos,https://crueltyfree.peta.org/company/arches-halos/,,L,
Arctic Fox Hair Color,https://crueltyfree.peta.org/company/arctic-fox-hair-color/,,L,
Areu Areu,https://crueltyfree.peta.org/company/areu-areu/,,L,
Argabody,https://crueltyfree.peta.org/company/argabody/,,L,
Argand’Or,https://crueltyfree.peta.org/company/argandor/,,,
Arilan Skincare,https://crueltyfree.peta.org/company/arilan-skincare/,,L,
Aristocrat,https://crueltyfree.peta.org/company/aristocrat/,,L,
AROLAB Organic,https://crueltyfree.peta.org/company/arolab-organic/,,L,
Aroma Bella,https://crueltyfree.peta.org/company/aroma-bella/,,,
Aroma Selena,https://crueltyfree.peta.org/company/aroma-selena/,,,
Aromacare Victoria,https://crueltyfree.peta.org/company/aromacare-victoria/,,,
Aromalief,https://crueltyfree.peta.org/company/aromalief/,,L,
Aromas By Flo,https://crueltyfree.peta.org/company/aromas-by-flo/,,L,
Aromatherapy by Whole Spectrum,https://crueltyfree.peta.org/company/aromatherapy-by-whole-spectrum/,,,
Aromi,https://crueltyfree.peta.org/company/aromi/,,L,
Array of Shades,https://crueltyfree.peta.org/company/array-of-shades/,,L,
Arunás E.I.R.L.,https://crueltyfree.peta.org/company/arunas-eirl/,,,
ARVESA AYURVEDIC,https://crueltyfree.peta.org/company/arvesa-ayurvedic/,,,
Arvesha Ayurvedic,https://crueltyfree.peta.org/company/arvesha-ayurvedic/,,,
ARYANA,https://crueltyfree.peta.org/company/aryana/,,L,
Asa Beauty,https://crueltyfree.peta.org/company/asa-beauty/,,L,
ASCENTION BEAUTY CO.,https://crueltyfree.peta.org/company/ascention-beauty-co/,,L,
ashakii,https://crueltyfree.peta.org/company/ashakii/,,L,
Ashba Botanicals,https://crueltyfree.peta.org/company/ashba-botanicals/,,,
AspenClean,https://crueltyfree.peta.org/company/aspenclean/,,L,
Assembled Skincare,https://crueltyfree.peta.org/company/assembled-skincare/,,L,
ASTIS,https://crueltyfree.peta.org/company/astis/,,L,
Astonish Cleaning Products,https://crueltyfree.peta.org/company/astonish-cleaning-products/,,L,
Ateh Jewel Beauty,https://crueltyfree.peta.org/company/ateh-jewel-beauty/,,,
ATGENE Inc.,https://crueltyfree.peta.org/company/atgene-inc/,,L,
Athar’a,https://crueltyfree.peta.org/company/athara/,,,
Atomic Makeup,https://crueltyfree.peta.org/company/atomic-makeup/,,L,
Atomo Skin Care,https://crueltyfree.peta.org/company/atomo-skin-care/,,L,
ATTITUDE (Bio-Spectra),https://crueltyfree.peta.org/company/attitude-bio-spectra/,,L,
Au Natural Organics Company,https://crueltyfree.peta.org/company/au-natural-organics-company/,,,
Au Naturale,https://crueltyfree.peta.org/company/au-naturale-glow/,,L,
Auá Natural,https://crueltyfree.peta.org/company/aua-natural/,,L,
Àuda.B,https://crueltyfree.peta.org/company/audab/,,L,
AUDREY & YOUNG,https://crueltyfree.peta.org/company/audrey-young/,,L,
Augustus BioMed,https://crueltyfree.peta.org/company/augustus-biomed/,,L,
Aunt Fannie’s,https://crueltyfree.peta.org/company/aunt-fannies/,,L,
