company_name,date_certified,industry,industry_category,country,state,city,sector,size,website       
Design Force,2022-11-16T05:33:20.831Z,Management  consultant - for-profits,Professional & technical services,United States,District of Columbia,Washington,Service with Minor Environmental Footprint,1-9,designforce.me
PAD studio Ltd,2023-01-16T13:07:41.005Z,Architecture design & planning,"Real estate, design & building",United Kingdom,Hampshire,Lymington,Service with Minor Environmental Footprint,1-9,www.padstudio.co.uk
Damasco,2022-10-17T17:09:22.217Z,Management  consultant - for-profits,Professional & technical services,Argentina,Autonomous City Of Buenos Aires,Ciudad Autónoma de Buenos Aires,Service with Minor Environmental Footprint,0,www.damasco.co
Danone Specialised Nutrition UK & Ireland,2022-01-14T08:38:51.549Z,Food products,Manufactured Goods,United Kingdom,London Borough of Hounslow,London,Manufacturing,1000+,www.danone.co.uk
TEN OVER STUDIO,2022-10-18T17:47:08.735Z,Architecture design & planning,"Real estate, design & building",United States,California,San Luis Obispo,Service with Minor Environmental Footprint,10-49,tenoverstudio.com
OMAL S.p.A,2017-09-28T00:00:00Z,Fabricated metal products,Manufactured Goods,Italy,Lombardy,Rodengo Saiano (Brescia),Manufacturing,50-249,www.omal.it
Gravning GmbH,2022-10-06T05:52:09.269Z,Management  consultant - for-profits,Professional & technical services,Germany,Hamburg,Hamburg,Service with Minor Environmental Footprint,10-49,www.gravning.de
The Community Company,2021-07-30T20:25:04.118Z,General retail via Internet,Retail,Canada,Ontario,Guelph,Wholesale/Retail,0,www.communitycompany.org
Global Round Table Leadership,2022-10-16T13:30:43.382Z,Management consultant - for-profits,Professional & technical services,United States,New Hampshire,Keene,Service with Minor Environmental Footprint,1-9,www.globalroundtableleadership.com
INBONIS s.a.,2022-10-25T11:16:16.861Z,Software publishing and SaaS platforms,"Information, communication & technology",Spain,Madrid,Madrid,Service with Minor Environmental Footprint,10-49,www.inbonis.com
Dead Happy Limited,2022-10-04T05:00:00.38Z,Life insurance,Financial & insurance activities,United Kingdom,Leicestershire,Leicester,Service with Minor Environmental Footprint,10-49,www.deadhappy.com
Don't Cry Wolf,2022-10-17T09:22:49.663Z,Advertising & market research,Professional & technical services,United Kingdom,London Borough of Hackney,London,Service with Minor Environmental Footprint,10-49,dontcrywolf.com
Les Mouettes Vertes,2022-10-04T23:27:40.33Z,Textiles,Manufactured Goods,France,Paris,Paris,Manufacturing,10-49,www.lesmouettesvertes.fr
B1G1,2021-05-27T04:07:25.168Z,Membership organizations,Other services,Singapore,Singapore,Singapore,Service with Minor Environmental Footprint,1-9,www.b1g1.com
RPM,2021-02-08T03:35:47.601Z,Advertising & market research,Professional & technical services,United Kingdom,London,London,Service with Minor Environmental Footprint,50-249,www.rpmltd.com
Vermont Creamery,2021-08-23T23:13:19.87Z,Food products,Manufactured Goods,United States,Vermont,Websterville,Manufacturing,50-249,www.vermontcreamery.com
Kingsfleet,2022-05-18T14:13:36.866Z,Investment advising,Financial & insurance activities,United Kingdom,Suffolk,Claydon,Service with Minor Environmental Footprint,1-9,www.kingsfleetwealth.co.uk
Brew Tea Company,2017-07-27T00:00:00Z,Beverages,Wholesale,United Kingdom,Lancashire,Manchester,Wholesale/Retail,10-49,www.brewteacompany.co.uk
Berg Kaprow Lewis LLP,2022-09-29T14:47:20.86Z,Accounting & auditing,Professional & technical services,United Kingdom,London Borough of Barnet,Finchley,Service with Minor Environmental Footprint,50-249,www.bkl.co.uk
Joseph Homes,2020-05-14T14:22:06.697Z,Real estate development,"Real estate, design & building",United Kingdom,London Borough of Lambeth,London,Service with Significant Environmental Footprint,10-49,www.josephhomes.co.uk
Radish Lab,2022-10-17T11:17:19.716Z,"Other professional, scientific & tech",Professional & technical services,United States,New York,Brooklyn,Service with Minor Environmental Footprint,10-49,www.radishlab.com
