Department,SubDepartment,Category,Product Name,Price,Product URL,Product Image,Secondary Image,Cert1,Cert2,Cert3,Description,features,Ingredients,Notes
home-and-garden,kitchen-and-dining,Dish,The Tablet Trio,47,https://www.blueland.com/products/the-tablet-trio,https://cdn.sanity.io/images/d864s8gp/production/168ca8246714ebfaab149820c5df68a2cd8c1724-1790x1790.jpg?w=300&q=100&fit=clip&auto=format&dpr=2,,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"Small tablet, big clean. Save space and money while also doing good for the planet with this trio of our plastic-free, sustainable best-sellers. Our Toilet Bowl Cleaner, Dishwasher Detergent Tablets and Laundry Detergent Tablets have all of the cleaning power without any of the plastic. 100% plastic-free and made with ingredients safe for you and the planet. Three powerful ways to clean, none of the plastic waste.","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",
home-and-garden,kitchen-and-dining,Dish,Dishwasher & Laundry Duo,36,https://www.blueland.com/products/dishwasher-laundry-duo?option=0,https://cdn.sanity.io/images/d864s8gp/production/02533fde6c9ccacb45314feed6b017e0777c0cdc-1790x1790.jpg?w=300&q=100&fit=clip&auto=format&dpr=2,,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),Save space and money while also doing good for the planet with this duo of two of our sustainable best-sellers. Our Laundry Detergent Tablets and Dishwasher Detergent Tablets have all of the cleaning power without any of the plastic. 100% plastic-free and made with ingredients safe for you and the planet.,"Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",Laundry Scent: Spring Bloom
Home-and-garden,kitchen-and-dining,Dish,Dishwasher & Toilet Duo,48,https://www.blueland.com/products/dishwasher-toilet-duo,https://cdn.sanity.io/images/d864s8gp/production/1d18654e23cde3077853c10b2b7044761318f29f-1790x1790.jpg?w=300&q=100&fit=clip&auto=format&dpr=2,,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"Save space and money while also doing good for the planet with this duo of two of our sustainable best-sellers. Our Dishwasher Detergent and Toilet Bowl Cleaner Tablets have all of the cleaning power without any of the plastic. 100% plastic-free and made with ingredients safe for you and the planet. Two powerful ways to clean, none of the plastic waste.","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",
Home-and-garden,kitchen-and-dining,Dish,Dishwasher Starter Set,20,https://www.blueland.com/products/dishwasher-starter-set,https://cdn.sanity.io/images/d864s8gp/production/f73028225df35b05bf6cca1e3f36556478c0e2f1-1790x1790.jpg?w=300&q=100&fit=clip&auto=format&dpr=2,,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"Not your average dishwasher detergent – our tablets have all of the power without any of the plastic. Unlike conventional detergent pods that come wrapped in plastic, our dry-form tablets cut grease, grime, and lift food stains for a sparkling clean without dissolving plastic film onto your dishes.","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",
Home-and-garden,kitchen-and-dining,Dish,The Dish Duo,43,https://www.blueland.com/products/the-dish-duo,https://cdn.sanity.io/images/d864s8gp/production/86d9f7a57d6ea262a362a801aaa35a5766386205-1790x1790.jpg?w=300&q=100&fit=clip&auto=format&dpr=2,,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"This dynamic duo has all the power without the plastic. Washing dishes by hand? Apply powder onto a sponge or dirty dishes and add water to create a thick foam that scrubs away grease, grime, and stains. If you opt for the dishwasher, simply drop in a tablet into your dispenser and you're good to go.","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",
home-and-garden,kitchen-and-dining,Dish,Dish Soap Starter Set,15,https://www.blueland.com/products/dish-soap-starter-set,https://cdn.sanity.io/images/d864s8gp/production/3ef9a9f9c0291ac5aa109b3129343748ab84b926-1790x1790.jpg?w=300&q=100&fit=clip&auto=format&dpr=2,,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"Step up to the plate(s) with a powerful powder made to wash without the waste. Simply pour powder onto a sponge or dish, add water, and squeeze to create a thick foam that lifts food stains and washes away unwanted leftovers with ease.","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",
home-and-garden,kitchen-and-dining,Dish,Dishwasher Refill Packs,19,https://www.blueland.com/products/dishwasher-refill-packs,https://cdn.sanity.io/images/d864s8gp/production/77a3090167ae8328d25884d8087ebb70c6707b10-1790x1790.jpg?w=300&q=100&fit=clip&auto=format&dpr=2,,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"Reduce, reuse, refill with our powerful dishwasher tablets. Hard-working without the harsh chemicals, our plastic-free tablets are proven to lift food stains, cut grease and grime, and leave plates sparkling clean. Say goodbye to conventional plastic-wrapped dishwasher detergent pods for good!","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",
home-and-garden,kitchen-and-dining,Dish,Dish Soap Refill Packs,11,https://www.blueland.com/products/dish-soap-refill-packs,https://cdn.sanity.io/images/d864s8gp/production/41d3d859bc670c2e88db38f038e318e322fd6f90-1790x1790.jpg?w=300&q=100&fit=clip&auto=format&dpr=2,,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"Reduce, reuse, refill with our powerful dish soap powder. Hard-working without the harsh chemicals, our plastic-free dish soap is proven to lift food stains, cut grease and grime, and leave plates sparkling clean.","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",
home-and-garden,kitchen-and-dining,Dish,Cleaning Companions,14,https://www.blueland.com/products/cleaning-companions,https://cdn.sanity.io/images/d864s8gp/production/799e6784c371a203f271567edc750df5f02254e5-1790x1790.jpg?w=300&q=100&fit=clip&auto=format&dpr=2,,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"The ultimate trio of compostable companions for your kitchen. Powerful on dirty dishes and surfaces, gentle on the planet when it’s time for a new one. This kit comes with:

    Cloud Cloth - an ultra-absorbent, strong, reusable cloth that can replace up to 1,500 paper towels (Please note that color may vary)
    Pop-Up Sponge - a cellulose sponge that is plant-based, not plastic
    Scrub Sponge - a dual-action loofah scrubber and absorbent cellulose sponge for your toughest messes","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",
home-and-garden,kitchen-and-dining,Dish,Cloud Cloth,13,https://www.blueland.com/products/cloud-cloth,https://cdn.sanity.io/images/d864s8gp/production/5bca49edde0a2564ce608b6edb1b2decb925f160-1790x1790.jpg?w=300&q=100&fit=clip&auto=format&dpr=2,,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"Goodbye single-use paper towels. Our ultra-absorbent Cloud Cloth is the perfect combo of a sponge and dishcloth. Made from all-natural cotton and plant cellulose, our ultra-absorbent Cloud Cloth is the solution to any surface mess – so you can wipe without the waste.

    Ultra-Absorbent: One cloth can absorb 10x its weight in water and replace as many as 1,500 paper towels
    Easy to Sanitize: Throw it in the dishwasher or boil to easily sanitize","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",
